,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_grow_policy,param_l2_leaf_reg,param_max_depth,param_num_trees,param_score_function,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,rank_train_score
10,10.272866821289062,2.7004892373953826,0.10991764068603516,0.02991615521126389,Depthwise,0.1,4,510,Cosine,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 4), ('num_trees', 510), ('score_function', 'Cosine')])",-527.3228193889569,-570.2828978636727,-552.2163493884877,-544.579980554041,-546.3304871786928,-548.1465068747701,13.829153424124273,15,-512.4724945944143,-502.84744944330265,-510.29107457700513,-506.3626129702221,-508.30733301210137,-508.0561929194091,3.3033531297286585,15
11,35.57481417655945,10.456366749327417,0.13856325149536133,0.024317693592281715,Depthwise,0.1,8,410,Cosine,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.1), ('max_depth', 8), ('num_trees', 410), ('score_function', 'Cosine')])",-501.63871013440024,-557.1767528207054,-545.293825902918,-530.1125419577785,-529.4656199373628,-532.737490150633,18.652982247279365,10,-376.1084693380285,-372.62317877572923,-379.10655421731883,-375.23784485457867,-375.3943608621748,-375.694081609566,2.075818643622248,10
12,30.33359088897705,9.2873789773838,0.12062110900878906,0.031856933255639264,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
13,38.63976125717163,11.444175670607654,0.14696331024169923,0.032159778723169274,Depthwise,0.01,8,410,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 410), ('score_function', 'L2')])",-501.84412103736804,-558.5287785854869,-530.1949497413942,-527.7607894727291,-527.94837515696,-529.2554027987876,17.961814142572223,9,-306.35413580810723,-301.5704227984578,-308.61176485515097,-307.1601069728843,-306.8185040139651,-306.10298688971307,2.3887506159394634,1
14,28.591519689559938,8.33371992963647,0.11779885292053223,0.023409156649669804,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
15,29.037463760375978,8.562885676285259,0.11202936172485352,0.02817260625695463,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
16,30.057472372055052,9.023919137547074,0.11389317512512206,0.023495040184388187,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
17,29.937696552276613,8.885261578181268,0.11955137252807617,0.022901791370643805,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
18,29.29173378944397,8.689905694264382,0.11557941436767578,0.028901303931079467,Depthwise,0.01,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 0.01), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-500.3044872564205,-557.9587245274491,-529.8140344340679,-525.4550721768685,-527.6236467118827,-528.2311930213376,18.298679573817292,2,-341.07097314595336,-331.85138071073476,-342.37659483274354,-338.6797016629072,-340.9229434392893,-338.9803187583256,3.7574311947847154,2
19,28.62999987602234,8.166354793655959,0.12100324630737305,0.031421171091312594,Depthwise,1.0,8,310,L2,"OrderedDict([('grow_policy', 'Depthwise'), ('l2_leaf_reg', 1.0), ('max_depth', 8), ('num_trees', 310), ('score_function', 'L2')])",-497.8907863652555,-552.3850527318451,-531.893253450604,-525.7219791168014,-528.6769394615659,-527.3136022252144,17.43355891102532,1,-360.66999816381445,-354.90633402568324,-361.4523484641591,-357.6098113947724,-359.8966130907331,-358.90702102783246,2.377154682065853,9
