,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_max_depth,param_min_split_gain,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score,rank_train_score
10,125.70644841194152,19.600570610737424,1.6821617126464843,0.6938439340900411,dart,61,0.01,540,720,0.001,0.001,0.30000000000000004,40,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 61), ('min_split_gain', 0.01), ('n_estimators', 540), ('num_leaves', 720), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.30000000000000004), ('subsample_freq', 40)])",-540.8572731438555,-534.431450560441,-619.346523093478,-540.1183842778846,-583.7801575939383,-555.928264006636,-590.6373880016126,-514.4214583406882,-549.8724250053676,-558.7685443169678,-558.8161868340869,29.369510063559407,6,-449.00236818058767,-449.38963707752777,-438.3386055894956,-445.3131171579325,-444.2724430199672,-447.1899790379092,-444.6381439797605,-451.38611613710356,-447.54557369879115,-452.3673563570224,-446.9443340236097,3.859435013153902,11
11,11.805752301216126,1.6228234723037676,1.4876408576965332,0.5440784716772853,rf,51,0.01,440,920,0.001,0.01,0.7000000000000001,10,"OrderedDict([('boosting_type', 'rf'), ('max_depth', 51), ('min_split_gain', 0.01), ('n_estimators', 440), ('num_leaves', 920), ('reg_alpha', 0.001), ('reg_lambda', 0.01), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-563.1935857905602,-552.470287316844,-664.0659067653066,-601.0430201004541,-624.8760798042166,-602.7305642654478,-616.467850860393,-551.8087922637036,-571.0745420783578,-586.2766918064948,-593.4007321051779,33.953909781116465,14,-544.6641217173196,-548.0984033245568,-529.8436311603328,-544.5142341017041,-540.4117195838355,-541.1877269347582,-538.7046518621812,-545.1661391448577,-542.7157288297224,-541.6838560117993,-541.6990212671068,4.713377298362687,16
12,184.21628513336182,26.050566126004497,2.1777352333068847,0.9434868626548284,dart,41,0.01,940,260,0.001,0.0001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 41), ('min_split_gain', 0.01), ('n_estimators', 940), ('num_leaves', 260), ('reg_alpha', 0.001), ('reg_lambda', 0.0001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-518.3115082639038,-518.0251736462129,-599.8795743652653,-537.6442374755416,-568.4127301888367,-549.7139961216188,-585.2498741950925,-509.10167868956216,-544.2857959304678,-538.4385565484831,-546.9063125424984,28.27036198083637,2,-302.0665095255366,-301.21885760013487,-299.80884229771004,-301.4445083675099,-299.4542390733542,-299.4492876241309,-298.021422075901,-302.34939333531764,-300.9648426903421,-299.5152482749001,-300.42931508648377,1.3129193094975464,9
13,22.717642259597778,2.70723192439455,0.15593998432159423,0.026940005622038132,dart,41,0.01,340,120,0.1,0.0001,0.5000000000000001,0,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 41), ('min_split_gain', 0.01), ('n_estimators', 340), ('num_leaves', 120), ('reg_alpha', 0.1), ('reg_lambda', 0.0001), ('subsample', 0.5000000000000001), ('subsample_freq', 0)])",-556.4888991633833,-539.677052205601,-626.1977480537261,-573.9188376182694,-594.5535624193861,-561.8884602788913,-611.4231856521368,-529.7007615806475,-573.203385456563,-557.4319349103012,-572.4483827338905,28.969692391522948,9,-453.4319974092929,-453.99566914252574,-448.44138290882034,-451.5233205141563,-450.15310830310096,-453.90608258279764,-450.2613986482029,-454.5102903138708,-451.9877554097637,-453.19695467629793,-452.1407959908829,1.9112131757088004,13
14,13.423084092140197,2.379317800527742,0.08678476810455323,0.019038221072695705,dart,1,0.01,1340,180,0.001,0.1,0.5000000000000001,10,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 1), ('min_split_gain', 0.01), ('n_estimators', 1340), ('num_leaves', 180), ('reg_alpha', 0.001), ('reg_lambda', 0.1), ('subsample', 0.5000000000000001), ('subsample_freq', 10)])",-1027.6919717062542,-1070.5462685250998,-1125.9524605429026,-1090.8627823243746,-1092.6683718208496,-1090.326816187018,-1099.346158595178,-1048.624375756209,-1060.8380182758447,-1065.4360789913455,-1077.229330272508,26.80203199411652,20,-1075.4519946037808,-1071.244453547508,-1065.7664980368118,-1069.6285577081474,-1069.7287967457726,-1068.5000495565123,-1069.5563977407019,-1074.6450505811154,-1073.448716976245,-1072.6153325232476,-1071.0585848019841,2.8453065494446976,20
15,9.235518288612365,0.9266707673354169,1.0549911499023437,0.22459517957329314,gbdt,51,0.0001,340,540,0.0001,0.1,0.5000000000000001,20,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 51), ('min_split_gain', 0.0001), ('n_estimators', 340), ('num_leaves', 540), ('reg_alpha', 0.0001), ('reg_lambda', 0.1), ('subsample', 0.5000000000000001), ('subsample_freq', 20)])",-556.6077892577946,-532.1933736941771,-641.1234483438972,-541.6075948819837,-595.6374672914433,-561.9417448805898,-583.7758086658501,-538.292967129487,-549.7487374616309,-553.4162258930374,-565.4345157499891,31.41239986072588,8,-285.1537137404955,-282.50866709376464,-280.35720828097493,-275.9066393222043,-273.62160803653893,-279.81445584300303,-277.26285925364954,-279.40746711602446,-276.8444954762271,-274.9983380202929,-278.5875452183176,3.366337281294281,7
16,4.667149782180786,0.6292185910710373,0.4486245155334473,0.12025966788671494,gbdt,11,0.1,640,160,0.1,0.001,0.7000000000000001,10,"OrderedDict([('boosting_type', 'gbdt'), ('max_depth', 11), ('min_split_gain', 0.1), ('n_estimators', 640), ('num_leaves', 160), ('reg_alpha', 0.1), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 10)])",-535.6469896879883,-523.4459697727905,-616.5245174925229,-542.3732233565302,-588.5446566907868,-543.6153433646906,-597.9332049096147,-532.505290905033,-540.8943257208177,-544.1044579204355,-556.558797982121,30.351949468988675,5,-286.54724582530247,-292.5785922061515,-293.2508916916599,-296.2073594318236,-284.11505767990843,-284.71002868423096,-289.1594164887736,-282.3090336436894,-283.91782208360206,-287.779850688902,-288.0575298424044,4.408335194467096,8
17,214.11810119152068,29.291773179820055,3.457395076751709,1.3519676227991364,dart,11,0.01,940,500,0.001,0.001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 11), ('min_split_gain', 0.01), ('n_estimators', 940), ('num_leaves', 500), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-516.5894183248208,-512.4317713196572,-602.0812520261401,-531.2750168180575,-559.3760285462984,-543.2478087822009,-575.0951631515242,-506.48821699112466,-536.8150742384535,-524.3161540122063,-540.7715904210484,28.686463414084056,1,-341.8095768263433,-341.1013103480673,-338.83407420121847,-339.9948933675013,-340.6427884786425,-342.42182955446174,-337.8161848065695,-342.5457249013948,-338.22948857570935,-338.23666287438766,-340.16325339342956,1.7132604334537613,10
18,224.80134258270263,30.722448323711703,3.895182704925537,1.3903576084673106,dart,51,0.1,940,480,0.001,0.001,0.7000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 51), ('min_split_gain', 0.1), ('n_estimators', 940), ('num_leaves', 480), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.7000000000000001), ('subsample_freq', 30)])",-530.3208402342701,-521.7047377566626,-597.4315752931662,-551.9755433905883,-580.2437512181588,-539.1947367153657,-587.8739056765854,-510.21321785576623,-546.144543443474,-533.7903341650571,-549.8893185749095,27.870957242141298,3,-233.5422361415489,-235.36111877278637,-233.50930473573885,-233.578269473866,-232.80665191319883,-234.2867308189024,-232.02115934994967,-235.0235879773125,-232.7616507427323,-234.80678160228575,-233.76974915283216,1.0298018419917025,4
19,309.66202597618104,37.72814694373392,5.694105434417724,2.0056389714215426,dart,81,0.001,1140,500,0.001,0.001,0.5000000000000001,30,"OrderedDict([('boosting_type', 'dart'), ('max_depth', 81), ('min_split_gain', 0.001), ('n_estimators', 1140), ('num_leaves', 500), ('reg_alpha', 0.001), ('reg_lambda', 0.001), ('subsample', 0.5000000000000001), ('subsample_freq', 30)])",-526.2568695017309,-522.5819444746302,-612.5044688362765,-550.2414297128981,-565.8251645355109,-547.0085141031369,-593.8813216725321,-527.6762732427026,-544.4713499328753,-538.2620391859333,-552.8709375198227,28.26938235827109,4,-264.0464306069269,-266.7878725857241,-264.01755886528264,-263.2194014125596,-263.8436633423407,-263.0027036244795,-262.16197880181096,-265.61251365623343,-262.4080823516566,-261.10449397483313,-263.6204699221847,1.5766839059514004,6
